PLACA;RENAVAM;CHASSIS;NUM_DOCUMENTO;DT_ULT_CONSULTA_DETRAN;STATUS_LICENCIAMENTO;VALOR_LICENCIAMENTO;ARQUIVO_LICENCIAMENTO;DT_ULT_CONSULTA_MULTAS;STATUS_MULTAS;MULTAS;PRECO_MULTAS;ARQUIVO_MULTAS
OBB9E70;490886191;93KAM30D5BE767825        ;10425282000122;2025-06-23 09:30:12;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 490886191.pdf;2025-06-23 09:30:12;SEM DEBITOS;0;;
QCZ2E60;1175811138;9ADG1133JKM434619        ;10425282004705;2025-06-23 09:31:10;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1175811138.pdf;2025-06-23 09:31:10;SEM DEBITOS;0;;
QCV3F10;1176358372;9ADG1133JKM434621        ;10425282003652;2025-06-23 09:32:09;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1176358372.pdf;2025-06-23 09:32:09;SEM DEBITOS;0;;
QCE7970;1177427025;3C6DFVBK1JE146175        ;10425282003652;2025-06-23 09:33:00;A PAGAR;215.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1177427025.pdf;2025-06-23 09:33:00;SEM DEBITOS;0;215.25;C:\BOT\MULTAS\MULTAS - 2025 - RENAVAM 1177427025.pdf
AVT9210;605594090;9BM384088NB935896        ;10425282004896;2025-06-23 09:33:59;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 605594090.pdf;2025-06-23 09:33:59;SEM DEBITOS;0;;
RAR9B70;1277646896;9BVRG40D2ME906572        ;10425282006597;2025-06-23 13:52:18;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1277646896.pdf;2025-06-23 13:52:18;SEM DEBITOS;0;;
QBI8F40;1065670572;9C2KD0800FR062668        ;10425282004209;2025-06-23 13:55:04;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1065670572.pdf;2025-06-23 13:55:04;SEM DEBITOS;0;;
QCG8E10;1173819093;9ADG0933JKM433492        ;10425282003814;2025-06-23 14:03:52;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1173819093.pdf;2025-06-23 14:03:52;SEM DEBITOS;0;;
QCZ1E60;1175803950;9ADM0452JKM431484        ;10425282005353;2025-06-23 14:05:30;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1175803950.pdf;2025-06-23 14:05:30;SEM DEBITOS;0;;
LKT6210;991085337;9BM3840789B622801        ;10425282004705;2025-06-23 14:06:22;A PAGAR;;;2025-06-23 14:06:22;SEM DEBITOS;0;;
QCZ1E00;1175803631;9ADB0902JKM431482        ;10425282005353;2025-06-23 14:07:17;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1175803631.pdf;2025-06-23 14:07:17;SEM DEBITOS;0;;
RRR9B10;1327997123;WV1DA22H4PA004253        ;10425282004209;2025-06-23 14:08:59;A PAGAR;189.0;C:\BOT\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1327997123.pdf;2025-06-23 14:08:59;SEM DEBITOS;0;;
