PLACA;RENAVAM;CHASSIS;NUM_DOCUMENTO;DT_ULT_CONSULTA_DETRAN;STATUS_LICENCIAMENTO;VALOR_LICENCIAMENTO;ARQUIVO_LICENCIAMENTO;DT_ULT_CONSULTA_MULTAS;STATUS_MULTAS;MULTAS;PRECO_MULTAS;ARQUIVO_MULTAS
QCD9G70;1173046230;9BVRG40D3KE861775        ;10425282003229;2025-09-11 10:18:49;A PAGAR;197.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1173046230.pdf;2025-09-11 10:18:34;SEM DEBITOS;0;468.55;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1173046230.pdf
JZL1360;128107952;9BM345305HB749690        ;10425282004705;2025-09-11 11:24:54;A PAGAR;417.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 128107952.pdf;2025-09-11 11:24:39;SEM DEBITOS;0;417.39;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 128107952.pdf
RAK3H40;1213621930;9BVRG40D6LE877495        ;10425282003733;2025-09-11 12:06:47;A PAGAR;32.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1213621930.pdf;2025-09-11 12:06:33;SEM DEBITOS;0;;
SPC1F80;1361814370;8AJKA3CD1R3119191        ;10425282003229;2025-09-11 12:14:47;A PAGAR;134.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1361814370.pdf;2025-09-11 12:14:33;SEM DEBITOS;0;134.37;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1361814370.pdf
SPC1G20;1361815032;8AJKA3CD9R3119147        ;10425282003229;2025-09-11 12:15:39;QUITADO;189.34;C:\BOT\LICENCIAMENTO\Lic Licenciamento 2025 - RENAVAM 1361815032.pdf;2025-08-09 12:20:11;A PAGAR;1;156.18;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1361815032.pdf
SPC1G50;1361815512;8AJKA3CD9R3119178        ;10425282003229;2025-09-11 12:18:09;A PAGAR;131.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1361815512.pdf;2025-09-11 12:17:54;SEM DEBITOS;0;443.85;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1361815512.pdf
SPM3E10;1401203040;9BVRT60D7RE607282        ;10425282003229;2025-09-11 12:26:42;A PAGAR;197.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1401203040.pdf;2025-09-11 12:26:27;SEM DEBITOS;0;156.18;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1401203040.pdf
QCD9H40;1173047287;9BVRG40D9KE861777        ;10425282003490;2025-09-11 12:54:33;QUITADO;189.34;C:\BOT\LICENCIAMENTO\Lic Licenciamento 2025 - RENAVAM 1173047287.pdf;2025-08-09 13:02:40;A PAGAR;1;104.13;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1173047287.pdf
RAU8B10;1277960396;9BVRG40D3ME907386        ;10425282003229;2025-09-11 13:08:43;A PAGAR;197.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1277960396.pdf;2025-09-11 13:08:28;SEM DEBITOS;0;197.18;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1277960396.pdf
RAX2B90;1279696807;9BVRG40D6ME907779        ;10425282004624;2025-09-11 13:10:56;A PAGAR;197.0;S:\Automacao\bot\LICENCIAMENTO\TESTE Lic Licenciamento 2025 - RENAVAM 1279696807.pdf;2025-09-11 13:10:42;SEM DEBITOS;0;197.18;S:\Automacao\bot\MULTAS\MULTAS - 2025 - RENAVAM 1279696807.pdf
